date,inflow_avg,inflow_min,inflow_max
2014-03,26.38,1.92,65.04
2014-04,30.74,5.77,124.35
2014-05,22.29,2.27,75.06
2014-06,7.66,0.91,20.60
2014-07,15.03,0.66,51.30
2014-08,111.37,14.69,632.62
2014-09,80.69,11.58,652.22
2014-10,21.44,7.19,95.96
2014-11,9.65,3.63,21.23
2014-12,6.41,0.74,16.70
2015-01,3.11,0.10,7.61
2015-02,4.61,0.76,17.42
2015-03,9.24,1.25,24.50
2015-04,53.41,18.55,219.67
2015-05,11.91,0.93,25.51
2015-06,7.76,0.00,69.54
2015-07,95.29,2.29,717.46
2015-08,96.88,16.93,722.69
2015-09,24.84,5.01,75.11
2015-10,8.21,1.76,25.57
2015-11,58.18,2.67,151.56
2015-12,30.33,9.73,92.36
2016-01,7.75,0.18,14.51
2016-02,14.45,5.00,57.78
2016-03,36.29,9.84,249.61
2016-04,58.68,20.18,227.03
2016-05,32.23,11.48,57.14
2016-06,8.75,1.48,22.52
2016-07,316.81,37.63,3918.50
2016-08,36.17,8.75,199.14
2016-09,33.84,11.25,97.31
2016-10,35.17,8.19,202.87
2016-11,12.34,1.44,26.35
2016-12,26.64,0.33,153.95
2017-01,12.81,3.52,29.36
2017-02,8.02,2.01,24.27
2017-03,11.77,6.13,22.57
2017-04,43.53,19.08,91.81
2017-05,9.19,1.09,19.38
2017-06,6.46,0.00,16.20
2017-07,312.84,4.13,1773.31
2017-08,282.31,35.43,1538.46
2017-09,27.19,5.50,62.01
2017-10,15.04,1.77,56.27
2017-11,7.86,0.59,15.62
2017-12,4.13,0.00,11.37
2018-01,2.57,0.00,10.71
2018-02,3.22,0.00,20.39
2018-03,28.50,2.39,99.02
2018-04,86.80,32.09,338.24
2018-05,156.47,23.80,1788.62
2018-06,16.97,0.00,62.49
2018-07,156.72,13.60,684.64
2018-08,168.32,3.72,2380.78
2018-09,63.70,11.00,206.30
2018-10,51.68,11.01,271.40
2018-11,46.94,14.66,258.63
2018-12,13.72,0.08,31.72
2019-01,6.95,3.20,17.78
2019-02,8.11,3.27,15.00
2019-03,17.03,5.55,63.83
2019-04,26.74,11.91,52.94
2019-05,10.45,0.00,28.60
2019-06,17.78,0.69,53.71
2019-07,64.53,0.75,350.14
2019-08,118.18,19.43,696.08
2019-09,89.30,13.83,581.67
2019-10,44.86,10.90,268.60
2019-11,22.13,6.84,82.50
2019-12,9.87,3.29,19.08
2020-01,46.98,3.80,428.95
2020-02,20.70,8.14,44.39
2020-03,37.93,26.16,86.84
2020-04,32.49,19.53,55.38
2020-05,75.14,14.78,329.59
2020-06,26.61,3.17,293.06
2020-07,156.60,16.67,1208.29
2020-08,545.83,66.27,3373.14
2020-09,296.61,38.97,2660.61
2020-10,19.30,6.56,42.91
2020-11,15.04,0.67,89.47
2020-12,5.38,0.00,9.42
2021-01,5.40,0.00,50.63
2021-02,3.97,0.00,11.59
2021-03,40.44,12.18,90.33
2021-04,75.10,16.20,388.76
2021-05,94.37,24.13,522.35
2021-06,39.99,7.90,90.92
2021-07,80.25,9.99,437.72
2021-08,54.67,13.98,104.11
2021-09,62.18,20.45,204.19
2021-10,56.64,17.44,167.72
2021-11,15.57,6.10,30.39
2021-12,13.79,0.63,36.41
2022-01,4.11,0.00,14.12
2022-02,2.66,0.00,7.69
2022-03,36.84,1.14,204.88
2022-04,24.88,8.13,43.44
2022-05,8.29,1.80,21.56
2022-06,105.07,0.05,1145.35
2022-07,186.29,56.90,1094.53
2022-08,346.03,33.07,3145.50
2022-09,221.46,16.40,2999.66
2022-10,71.17,16.39,559.70
2022-11,20.56,10.15,55.90
2022-12,15.28,0.00,66.91
2023-01,10.04,1.91,36.02
2023-02,7.50,2.16,24.16
2023-03,14.70,6.30,30.53
2023-04,33.21,10.25,79.11
2023-05,60.16,10.48,389.81
2023-06,56.17,10.32,691.71
2023-07,195.96,43.84,767.15
2023-08,113.87,20.58,508.68
2023-09,96.73,27.80,242.94
2023-10,26.14,13.02,69.42
2023-11,50.35,10.65,299.09
2023-12,35.91,6.20,124.91
2024-01,15.30,5.28,22.04
2024-02,54.22,10.12,277.02
2024-03,63.34,27.04,124.21
2024-04,48.71,0.00,82.19
2024-05,45.81,10.24,134.55
2024-06,23.88,0.67,329.86
2024-07,242.85,50.79,1061.54
2024-08,41.82,12.27,108.23
2024-09,123.88,3.91,1269.89
2024-10,66.67,14.29,344.43
2024-11,25.00,13.29,46.64
2024-12,12.89,2.48,27.04
2025-01,6.18,0.59,12.75
2025-02,4.01,0.11,9.11
2025-03,28.49,0.00,80.47
2025-04,59.92,20.59,226.53
2025-05,40.68,11.86,106.22
2025-06,21.75,0.00,120.63
2025-07,102.13,0.00,940.45
2025-08,80.90,20.07,497.63
2025-09,103.48,65.23,146.76
,,,
